Species,Dataset,File Name,Streptomycin,Vancomycin,Ceftriaxone,Oxacillin,Clindamycin,Fusidic acid,Erythromycin,Linezolid,Methicillin,Gentamicin,Trimethoprim-Sulfamethoxazole,Ciprofloxacin,Tetracycline,Chloramphenicol,Penicillin,Trimethoprim,Daptomycin,Cefoxitin,Amikacin,Ampicillin-Sulbactam,Cefepime,Cefotaxime,Ceftazidime,Colistin,Doripenem,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Polymyxin_B,Tigecycline,Tobramycin,Ampicillin,Amoxicillin-Clavulanic acid,Azithromycin,Sulfisoxazole,Kanamycin,Nalidixic acid,Ceftiofur,Capreomycin,Clarithromycin,Clofazimine,Cycloserine,Ethambutol,Ethionamide,Gatifloxacin,Isoniazid,Nicotinamide,Ofloxacin,para-aminosalicylic acid,Prothionamide,Pyrazinamide,Rifabutin,Rifampicin,Aztreonam,Cefuroxime,Piperacillin-Tazobactam
Staphylococcus aureus,PRJNA633996,10A467.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,10A468.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,10A554.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,10A584.fna,,S,,R,R,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,10A605.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,10A611.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,10A674.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1123.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1127.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1151.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1165.fna,,S,,R,S,,R,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A123.fna,,S,,R,S,,S,S,,I,S,R,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1450.fna,,S,,R,R,,R,S,,S,S,S,I,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1502.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1505.fna,,S,,R,R,,S,S,,S,S,S,R,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A1543.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A223.fna,,S,,R,R,,R,S,,R,S,S,S,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A265.fna,,S,,R,R,,R,S,,S,S,S,S,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A266.fna,,S,,R,R,,R,S,,S,S,S,S,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A356.fna,,S,,R,R,,R,S,,S,S,S,I,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A660.fna,,S,,R,S,,S,S,,S,S,S,S,S,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,PRJNA633996,11A731.fna,,S,,R,R,,R,S,,S,S,S,S,R,R,,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
