Species,Dataset,File Name,Erythromycin,Methicillin,Ciprofloxacin,Clindamycin,Penicillin,clusters,split
Staphylococcus aureus,PRJNA633996,10A467.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,10A468.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,10A554.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,10A584.fna,R,,S,R,R,28,train
Staphylococcus aureus,PRJNA633996,10A605.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,10A611.fna,S,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,10A674.fna,R,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,11A1123.fna,S,,S,S,R,298,train
Staphylococcus aureus,PRJNA633996,11A1127.fna,S,,S,S,R,298,train
Staphylococcus aureus,PRJNA633996,11A1151.fna,S,,S,S,R,42,test
Staphylococcus aureus,PRJNA633996,11A1165.fna,R,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,11A123.fna,S,,R,S,R,180,test
Staphylococcus aureus,PRJNA633996,11A1450.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A1502.fna,S,,S,S,R,3,train
Staphylococcus aureus,PRJNA633996,11A1505.fna,S,,S,R,R,3,train
Staphylococcus aureus,PRJNA633996,11A1543.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A223.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A265.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A266.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A356.fna,R,,S,R,R,98,train
Staphylococcus aureus,PRJNA633996,11A660.fna,S,,S,S,R,4,train
Staphylococcus aureus,PRJNA633996,11A731.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A746.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A819.fna,R,,R,R,R,174,train
Staphylococcus aureus,PRJNA633996,11A832.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A871.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A914.fna,R,,I,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A934.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A941.fna,R,,S,R,R,19,train
Staphylococcus aureus,PRJNA633996,11A943.fna,R,,S,R,R,19,train
