Species,Project Number,Database,ID,Link,Study DOI
Escherichia coli,Not available,PACTRIC,1045010.61,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1045010.62,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1045010.63,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1045010.64,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1328432.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1328433.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1328434.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1328440.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1328442.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1438684.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1438685.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,1438686.3,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.11346,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.11347,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.11349,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.11557,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.12959,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.12960,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.12961,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.12962,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
Escherichia coli,Not available,PACTRIC,562.13502,https://www.patricbrc.org/,https://doi.org/10.1128/msystems.00913-20
