Species,Dataset,File Name,Tetracycline,Ampicillin,Amoxicillin-Clavulanic acid,Cefoxitin,Ceftiofur,Gentamicin,Ceftriaxone,clusters,split
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177265.fna,S,S,S,S,S,S,S,28,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177285.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177315.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177316.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177324.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177331.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177335.fna,R,S,S,S,S,R,S,112,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177339.fna,S,S,S,S,S,S,S,28,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177356.fna,R,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177360.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1177369.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181520.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181521.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181525.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181526.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181528.fna,S,S,S,S,S,S,S,28,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181529.fna,R,S,S,S,S,S,S,45,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181530.fna,S,S,S,S,S,S,S,35,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181531.fna,R,S,S,S,S,S,S,45,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181532.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181546.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181547.fna,S,S,S,S,S,S,S,2,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181551.fna,S,S,S,S,S,S,S,9,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181559.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181560.fna,S,S,S,S,S,S,S,28,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181564.fna,R,S,S,S,S,S,S,49,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1181566.fna,I,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185781.fna,R,S,S,S,S,S,S,11,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185785.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185790.fna,S,S,S,I,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185791.fna,S,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185792.fna,S,S,S,S,S,S,S,36,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185798.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185804.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185810.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185819.fna,S,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185820.fna,R,S,S,S,S,S,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185828.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185839.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185842.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185855.fna,S,R,I,S,S,R,S,1,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185856.fna,S,S,S,S,S,S,S,0,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1185859.fna,R,S,S,S,S,R,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195625.fna,S,S,S,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195626.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195631.fna,R,R,R,I,R,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195634.fna,R,R,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195641.fna,S,S,S,S,S,S,S,7,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195642.fna,S,R,I,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195643.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195644.fna,R,R,I,S,S,S,S,4,test
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195649.fna,R,S,S,S,S,S,S,14,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195655.fna,S,S,S,S,S,S,S,16,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195659.fna,S,S,S,S,S,S,S,7,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195663.fna,S,S,S,S,S,S,S,32,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195666.fna,R,S,S,S,S,S,S,5,train
Salmonella enterica,PRJNA292666 & PRJNA292661,SRR1195667.fna,S,S,S,S,S,S,S,0,train
